Артикул	Группа товара	Дата продажи
IT01001591	Средство для ухода за мебелью	07.05.2017
IT01001592	Средство для чистки металлических изделий	08.05.2017
IT01001593	Средство для мытья пола	10.05.2017
IT01001594	Кондиционер для белья	11.05.2017
IT01001595	Перчатки резиновые	12.05.2017
IT01001596	Средство для дезинфекции	13.05.2017
IT01001597	Покрытие одноразовое для унитаза	14.05.2017
IT01001598	Бумажное полотенце	15.05.2017
IT01001599	Подвеска для унитаза	16.05.2017
IT01001600	Средство для посудомоечной машины	17.05.2017
IT01001601	Картридж с жидким мылом	18.05.2017
IT01001602	Платки носовые	19.05.2017
IT01001603	Средство по уходу за зеркалами и стеклами	20.05.2017
IT01001604	Стиральный порошок-автомат	21.05.2017
IT01001605	Средство для чистки кафеля	22.05.2017
IT01001606	Средство от накипи	23.05.2017
IT01001607	Пакеты для завтрака	24.05.2017
IT01001608	Гель для туалетов	25.05.2017
IT01001609	Сода кальцинированная	26.05.2017
IT01001610	Чистящий порошок универсальный	27.05.2017
IT01001611	Микроспрей	28.05.2017
IT01001612	Средство для чистки плит	29.05.2017
IT01001613	Дозатор	30.05.2017
IT01001614	Стиральный порошок ручной	01.06.2017
IT01001615	Мыло жидкое	02.06.2017
IT01001616	Мыло кусковое	03.06.2017
IT01001617	Отбеливатель	04.06.2017
IT01001618	Зубная паста	05.06.2017
IT01001619	Пятновыводитель	06.06.2017
IT01001620	Салфетки бумажные	07.06.2017
IT01001621	Стиральный порошок универсальный	08.06.2017
IT01001622	Средство для мытья посуды	09.06.2017
IT01001623	Средство для прочистки труб	10.06.2017
IT01001624	Перчатки тканевые	11.06.2017
IT01001625	Антистатик спрей	12.06.2017
IT01001626	Освежитель воздуха	13.06.2017
IT01001627	Пена/соль для ванн	14.06.2017
IT01001628	Запасной баллон для освежителя	15.06.2017
IT01001629	Средство для ухода за мебелью	16.06.2017
IT01001630	Средство для чистки металлических изделий	17.06.2017
IT01001631	Средство для мытья пола	18.06.2017
IT01001632	Кондиционер для белья	19.06.2017
IT01001633	Перчатки резиновые	20.06.2017
IT01001634	Средство для дезинфекции	21.06.2017
IT01001635	Покрытие одноразовое для унитаза	22.06.2017
IT01001636	Бумажное полотенце	23.06.2017
IT01001637	Подвеска для унитаза	24.06.2017
IT01001638	Средство для посудомоечной машины	25.06.2017
IT01001639	Картридж с жидким мылом	26.06.2017
IT01001640	Платки носовые	27.06.2017
IT01001641	Средство по уходу за зеркалами и стеклами	28.06.2017
IT01001642	Стиральный порошок-автомат	29.06.2017
IT01001643	Средство для чистки кафеля	01.07.2017
IT01001644	Средство от накипи	02.07.2017
IT01001645	Пакеты для завтрака	03.07.2017
IT01001646	Гель для туалетов	04.07.2017
IT01001647	Сода кальцинированная	05.07.2017
IT01001648	Чистящий порошок универсальный	06.07.2017
IT01001649	Микроспрей	07.07.2017
IT01001650	Средство для чистки плит	08.07.2017
IT01001651	Дозатор	09.07.2017
IT01001652	Стиральный порошок ручной	10.07.2017
IT01001653	Мыло жидкое	11.07.2017
IT01001654	Мыло кусковое	12.07.2017
IT01001655	Отбеливатель	13.07.2017
IT01001656	Зубная паста	14.07.2017
IT01001657	Пятновыводитель	15.07.2017
IT01001658	Салфетки бумажные	16.07.2017
IT01001659	Стиральный порошок универсальный	17.07.2017
IT01001660	Средство для мытья посуды	18.07.2017
IT01001661	Средство для прочистки труб	19.07.2017
IT01001662	Перчатки тканевые	20.07.2017
IT01001663	Антистатик спрей	21.07.2017
IT01001664	Освежитель воздуха	22.07.2017
IT01001665	Пена/соль для ванн	23.07.2017
IT01001666	Запасной баллон для освежителя	24.07.2017
IT01001667	Средство для ухода за мебелью	25.07.2017
IT01001668	Средство для чистки металлических изделий	26.07.2017
IT01001669	Средство для мытья пола	27.07.2017
IT01001670	Кондиционер для белья	28.07.2017
IT01001671	Перчатки резиновые	29.07.2017
IT01001672	Средство для дезинфекции	30.07.2017
IT01001673	Покрытие одноразовое для унитаза	01.08.2017
IT01001674	Бумажное полотенце	02.08.2017
IT01001675	Подвеска для унитаза	03.08.2017
IT01001676	Средство для посудомоечной машины	04.08.2017
IT01001677	Картридж с жидким мылом	05.08.2017
IT01001678	Платки носовые	06.08.2017
IT01001679	Средство по уходу за зеркалами и стеклами	07.08.2017
IT01001680	Стиральный порошок-автомат	08.08.2017
IT01001681	Средство для чистки кафеля	09.08.2017
IT01001682	Средство от накипи	10.08.2017
IT01001683	Пакеты для завтрака	11.08.2017
IT01001684	Гель для туалетов	12.08.2017
IT01001685	Сода кальцинированная	13.08.2017
IT01001686	Чистящий порошок универсальный	14.08.2017
IT01001687	Микроспрей	15.08.2017
IT01001688	Средство для чистки плит	16.08.2017
IT01001689	Дозатор	17.08.2017
IT01001690	Стиральный порошок ручной	18.08.2017
IT01001691	Мыло жидкое	19.08.2017
IT01001692	Мыло кусковое	20.08.2017
IT01001693	Отбеливатель	21.08.2017
IT01001694	Зубная паста	22.08.2017
IT01001695	Пятновыводитель	23.08.2017
IT01001696	Салфетки бумажные	24.08.2017
IT01001697	Стиральный порошок универсальный	25.08.2017
IT01001698	Средство для мытья посуды	26.08.2017
IT01001699	Средство для прочистки труб	27.08.2017
IT01001700	Перчатки тканевые	28.08.2017
IT01001701	Антистатик спрей	29.08.2017
IT01001702	Освежитель воздуха	30.08.2017
